time_h,RFU,compound
0.583333333,319,none
0.6,321,none
0.6,303,none
0.6,322,none
0.616666667,325,none
0.616666667,309,none
0.616666667,323,none
0.633333333,325,none
0.633333333,312,none
0.633333333,328,none
0.65,336,none
0.65,310,none
0.65,323,none
0.666666667,333,none
0.666666667,315,none
0.666666667,323,none
0.683333333,340,none
0.683333333,319,none
0.683333333,332,none
0.7,330,none
0.7,315,none
0.7,337,none
0.716666667,345,none
0.716666667,321,none
0.716666667,341,none
0.733333333,341,none
0.733333333,327,none
0.733333333,332,none
0.75,350,none
0.75,324,none
0.75,339,none
0.766666667,339,none
0.766666667,326,none
0.766666667,346,none
0.783333333,352,none
0.783333333,331,none
0.783333333,344,none
0.8,347,none
0.8,333,none
0.8,345,none
0.816666667,354,none
0.816666667,332,none
0.816666667,340,none
0.833333333,356,none
0.833333333,336,none
0.833333333,357,none
0.85,352,none
0.85,340,none
0.85,354,none
0.866666667,362,none
0.866666667,339,none
0.866666667,345,none
0.883333333,362,none
0.883333333,340,none
0.883333333,359,none
0.9,367,none
0.9,350,none
0.9,365,none
0.916666667,363,none
0.916666667,344,none
0.916666667,357,none
0.933333333,367,none
0.933333333,346,none
0.933333333,360,none
0.95,376,none
0.95,350,none
0.95,362,none
0.966666667,377,none
0.966666667,351,none
0.966666667,369,none
0.983333333,381,none
0.983333333,361,none
0.983333333,369,none
1,377,none
1,364,none
1,376,none
1.016666667,385,none
1.016666667,364,none
1.016666667,379,none
1.033333333,386,none
1.033333333,370,none
1.033333333,374,none
1.05,388,none
1.05,366,none
1.05,382,none
1.066666667,392,none
1.066666667,370,none
1.066666667,390,none
1.083333333,390,none
1.083333333,373,none
1.083333333,378,none
1.1,395,none
1.1,378,none
1.1,389,none
1.116666667,401,none
1.116666667,385,none
1.116666667,386,none
1.133333333,388,none
1.133333333,378,none
1.133333333,397,none
1.150027778,414,none
1.150027778,382,none
1.150027778,397,none
1.166694444,400,none
1.166694444,383,none
1.166694444,400,none
1.183333333,414,none
1.183333333,389,none
1.183333333,402,none
1.2,417,none
1.2,390,none
1.2,399,none
1.216666667,419,none
1.216666667,393,none
1.216666667,405,none
1.233333333,430,none
1.233333333,399,none
1.233333333,404,none
1.25,415,none
1.25,407,none
1.25,414,none
1.266694444,420,none
1.266694444,395,none
1.266694444,425,none
1.283333333,435,none
1.283333333,407,none
1.283333333,427,none
1.3,435,none
1.3,414,none
1.3,425,none
1.316694444,428,none
1.316694444,416,none
1.316694444,436,none
1.333333333,447,none
1.333333333,422,none
1.333333333,425,none
1.350027778,449,none
1.350027778,426,none
1.350027778,437,none
1.366666667,443,none
1.366666667,420,none
1.366666667,448,none
1.383333333,450,none
1.383333333,441,none
1.383333333,442,none
1.4,456,none
1.4,439,none
1.4,458,none
1.416666667,451,none
1.416666667,424,none
1.416666667,450,none
1.433333333,463,none
1.433333333,443,none
1.433333333,454,none
1.450027778,473,none
1.450027778,439,none
1.450027778,461,none
1.466666667,479,none
1.466666667,451,none
1.466666667,461,none
1.483361111,480,none
1.483361111,449,none
1.483361111,467,none
1.5,471,none
1.5,459,none
1.5,473,none
1.516666667,493,none
1.516666667,457,none
1.516666667,473,none
1.533333333,486,none
1.533333333,479,none
1.533333333,482,none
1.550027778,498,none
1.550027778,460,none
1.550027778,485,none
1.566666667,500,none
1.566666667,481,none
1.566666667,487,none
1.583361111,497,none
1.583361111,482,none
1.583361111,505,none
1.600027778,502,none
1.600027778,492,none
1.600027778,497,none
1.616694444,519,none
1.616694444,492,none
1.616694444,506,none
1.633333333,525,none
1.633333333,499,none
1.633333333,506,none
1.65,538,none
1.65,501,none
1.65,510,none
1.666666667,534,none
1.666666667,504,none
1.666666667,514,none
1.683333333,540,none
1.683333333,506,none
1.683333333,527,none
1.7,554,none
1.7,508,none
1.7,531,none
1.716694444,547,none
1.716694444,523,none
1.716694444,548,none
1.733361111,546,none
1.733361111,533,none
1.733361111,537,none
1.750027778,563,none
1.750027778,539,none
1.750027778,551,none
1.766694444,568,none
1.766694444,533,none
1.766694444,554,none
1.783361111,580,none
1.783361111,546,none
1.783361111,574,none
1.8,584,none
1.8,556,none
1.8,577,none
1.816666667,592,none
1.816666667,566,none
1.816666667,574,none
1.833361111,585,none
1.833361111,563,none
1.833361111,581,none
1.850027778,612,none
1.850027778,580,none
1.850027778,600,none
1.866694444,613,none
1.866694444,579,none
1.866694444,587,none
1.883361111,629,none
1.883361111,592,none
1.883361111,610,none
1.900027778,631,none
1.900027778,590,none
1.900027778,617,none
1.916694444,631,none
1.916694444,610,none
1.916694444,621,none
1.933361111,639,none
1.933361111,606,none
1.933361111,627,none
1.950027778,648,none
1.950027778,625,none
1.950027778,641,none
1.966694444,662,none
1.966694444,626,none
1.966694444,649,none
1.983361111,674,none
1.983361111,627,none
1.983361111,654,none
2.000027778,674,none
2.000027778,649,none
2.000027778,661,none
2.016694444,695,none
2.016694444,663,none
2.016694444,669,none
2.033361111,695,none
2.033361111,660,none
2.033361111,679,none
2.050027778,714,none
2.050027778,677,none
2.050027778,689,none
2.066694444,725,none
2.066694444,687,none
2.066694444,703,none
2.083361111,746,none
2.083361111,699,none
2.083361111,715,none
2.100027778,737,none
2.100027778,700,none
2.100027778,720,none
2.116694444,761,none
2.116694444,714,none
2.116694444,740,none
2.133361111,775,none
2.133361111,739,none
2.133361111,743,none
2.150027778,777,none
2.150027778,739,none
2.150027778,767,none
2.166694444,774,none
2.166694444,760,none
2.166694444,761,none
2.183361111,802,none
2.183361111,764,none
2.183361111,795,none
2.200027778,819,none
2.200027778,775,none
2.200027778,798,none
2.216694444,824,none
2.216694444,782,none
2.216694444,811,none
2.233361111,839,none
2.233361111,795,none
2.233361111,827,none
2.250027778,853,none
2.250027778,809,none
2.250027778,835,none
2.266694444,856,none
2.266694444,828,none
2.266694444,850,none
2.283361111,889,none
2.283361111,830,none
2.283361111,863,none
2.300027778,898,none
2.300027778,839,none
2.300027778,883,none
2.316694444,917,none
2.316694444,868,none
2.316694444,910,none
2.333361111,936,none
2.333361111,885,none
2.333361111,909,none
2.350027778,971,none
2.350027778,913,none
2.350027778,938,none
2.366694444,968,none
2.366694444,932,none
2.366694444,949,none
2.383361111,985,none
2.383361111,952,none
2.383361111,973,none
2.400027778,1012,none
2.400027778,959,none
2.400027778,979,none
2.416694444,1034,none
2.416694444,987,none
2.416694444,1023,none
2.433361111,1055,none
2.433361111,997,none
2.433361111,1023,none
2.450027778,1083,none
2.450027778,1026,none
2.450027778,1051,none
2.466694444,1098,none
2.466694444,1052,none
2.466694444,1078,none
2.483361111,1132,none
2.483361111,1087,none
2.483361111,1095,none
2.500027778,1146,none
2.500027778,1076,none
2.500027778,1097,none
2.516694444,1174,none
2.516694444,1103,none
2.516694444,1122,none
2.533361111,1175,none
2.533361111,1111,none
2.533361111,1176,none
2.550027778,1197,none
2.550027778,1158,none
2.550027778,1189,none
2.566694444,1226,none
2.566694444,1170,none
2.566694444,1202,none
2.583361111,1264,none
2.583361111,1216,none
2.583361111,1222,none
2.600027778,1292,none
2.600027778,1237,none
2.600027778,1262,none
2.616694444,1315,none
2.616694444,1268,none
2.616694444,1283,none
2.633361111,1361,none
2.633361111,1285,none
2.633361111,1322,none
2.650027778,1379,none
2.650027778,1337,none
2.650027778,1357,none
2.666694444,1409,none
2.666694444,1361,none
2.666694444,1395,none
2.683361111,1463,none
2.683361111,1394,none
2.683361111,1430,none
2.700027778,1498,none
2.700027778,1438,none
2.700027778,1469,none
2.716694444,1551,none
2.716694444,1463,none
2.716694444,1513,none
2.733361111,1578,none
2.733361111,1487,none
2.733361111,1515,none
2.750027778,1635,none
2.750027778,1559,none
2.750027778,1579,none
2.766694444,1678,none
2.766694444,1603,none
2.766694444,1628,none
2.783361111,1752,none
2.783361111,1655,none
2.783361111,1674,none
2.800027778,1774,none
2.800027778,1681,none
2.800027778,1739,none
2.816694444,1810,none
2.816694444,1772,none
2.816694444,1781,none
2.833361111,1888,none
2.833361111,1823,none
2.833361111,1845,none
2.850027778,1963,none
2.850027778,1885,none
2.850027778,1913,none
2.866694444,2043,none
2.866694444,1965,none
2.866694444,1984,none
2.883361111,2114,none
2.883361111,2044,none
2.883361111,2060,none
2.900027778,2206,none
2.900027778,2115,none
2.900027778,2128,none
2.916694444,2289,none
2.916694444,2202,none
2.916694444,2230,none
2.933361111,2374,none
2.933361111,2283,none
2.933361111,2318,none
2.950027778,2499,none
2.950027778,2397,none
2.950027778,2402,none
2.966694444,2554,none
2.966694444,2487,none
2.966694444,2495,none
2.983361111,2690,none
2.983361111,2640,none
2.983361111,2611,none
3.000027778,2806,none
3.000027778,2714,none
3.000027778,2730,none
3.016694444,2958,none
3.016694444,2887,none
3.016694444,2843,none
3.033361111,3074,none
3.033361111,3005,none
3.033361111,2978,none
3.050027778,3248,none
3.050027778,3121,none
3.050027778,3131,none
3.066694444,3390,none
3.066694444,3244,none
3.066694444,3246,none
3.083361111,3527,none
3.083361111,3415,none
3.083361111,3407,none
3.100027778,3695,none
3.100027778,3570,none
3.100027778,3576,none
3.116694444,3840,none
3.116694444,3719,none
3.116694444,3689,none
3.133361111,4002,none
3.133361111,3896,none
3.133361111,3844,none
3.150027778,4123,none
3.150027778,4079,none
3.150027778,4038,none
3.166694444,4333,none
3.166694444,4202,none
3.166694444,4197,none
3.183361111,4558,none
3.183361111,4411,none
3.183361111,4377,none
3.200027778,4705,none
3.200027778,4557,none
3.200027778,4558,none
3.216694444,4903,none
3.216694444,4743,none
3.216694444,4733,none
3.233361111,5045,none
3.233361111,4987,none
3.233361111,4866,none
3.250027778,5243,none
3.250027778,5115,none
3.250027778,5103,none
3.266694444,5413,none
3.266694444,5264,none
3.266694444,5288,none
3.283361111,5642,none
3.283361111,5538,none
3.283361111,5490,none
3.300027778,5852,none
3.300027778,5656,none
3.300027778,5664,none
3.316694444,6046,none
3.316694444,5938,none
3.316694444,5917,none
3.333361111,6182,none
3.333361111,6043,none
3.333361111,6022,none
3.350027778,6409,none
3.350027778,6303,none
3.350027778,6284,none
3.366694444,6570,none
3.366694444,6479,none
3.366694444,6453,none
3.383361111,6784,none
3.383361111,6658,none
3.383361111,6620,none
3.400027778,6907,none
3.400027778,6810,none
3.400027778,6793,none
3.416694444,7101,none
3.416694444,7093,none
3.416694444,7005,none
3.433361111,7278,none
3.433361111,7158,none
3.433361111,7213,none
3.450027778,7504,none
3.450027778,7321,none
3.450027778,7304,none
3.466694444,7549,none
3.466694444,7453,none
3.466694444,7486,none
3.483361111,7788,none
3.483361111,7582,none
3.483361111,7634,none
3.500027778,7810,none
3.500027778,7685,none
3.500027778,7747,none
3.516694444,8033,none
3.516694444,7794,none
3.516694444,7851,none
3.533361111,8156,none
3.533361111,7904,none
3.533361111,7920,none
3.550027778,8163,none
3.550027778,7963,none
3.550027778,8127,none
3.566694444,8242,none
3.566694444,7989,none
3.566694444,8175,none
3.583361111,8417,none
3.583361111,8111,none
3.583361111,8262,none
3.600027778,8318,none
3.600027778,8066,none
3.600027778,8334,none
3.616694444,8445,none
3.616694444,8167,none
3.616694444,8384,none
3.633361111,8477,none
3.633361111,8155,none
3.633361111,8457,none
3.650027778,8512,none
3.650027778,8287,none
3.650027778,8524,none
3.666694444,8465,none
3.666694444,8285,none
3.666694444,8459,none
3.683361111,8591,none
3.683361111,8236,none
3.683361111,8510,none
3.700027778,8578,none
3.700027778,8300,none
3.700027778,8515,none
3.716694444,8628,none
3.716694444,8400,none
3.716694444,8561,none
3.733361111,8627,none
3.733361111,8284,none
3.733361111,8611,none
3.750027778,8636,none
3.750027778,8351,none
3.750027778,8597,none
3.766694444,8651,none
3.766694444,8270,none
3.766694444,8637,none
3.783361111,8629,none
3.783361111,8346,none
3.783361111,8692,none
3.800027778,8620,none
3.800027778,8359,none
3.800027778,8621,none
3.816694444,8708,none
3.816694444,8336,none
3.816694444,8714,none
3.833361111,8680,none
3.833361111,8293,none
3.833361111,8585,none
3.850027778,8642,none
3.850027778,8345,none
3.850027778,8663,none
3.866694444,8649,none
3.866694444,8300,none
3.866694444,8669,none
3.883361111,8646,none
3.883361111,8321,none
3.883361111,8665,none
3.900027778,8666,none
3.900027778,8296,none
3.900027778,8614,none
3.916694444,8709,none
3.916694444,8273,none
3.916694444,8618,none
3.933361111,8682,none
3.933361111,8278,none
3.933361111,8643,none
3.950027778,8636,none
3.950027778,8338,none
3.950027778,8655,none
3.966694444,8686,none
3.966694444,8279,none
3.966694444,8661,none
3.983361111,8742,none
3.983361111,8314,none
3.983361111,8640,none
4.000027778,8704,none
4.000027778,8362,none
4.000027778,8642,none
4.016694444,8808,none
4.016694444,8381,none
4.016694444,8736,none
4.033361111,8676,none
4.033361111,8405,none
4.033361111,8680,none
4.050027778,8781,none
4.050027778,8330,none
4.050027778,8671,none
4.066694444,8761,none
4.066694444,8326,none
4.066694444,8602,none
4.083361111,8799,none
4.083361111,8403,none
4.083361111,8695,none
4.100027778,8773,none
4.100027778,8374,none
4.100027778,8742,none
4.116694444,8819,none
4.116694444,8428,none
4.116694444,8737,none
4.133361111,8694,none
4.133361111,8382,none
4.133361111,8748,none
4.150027778,8816,none
4.150027778,8464,none
4.150027778,8796,none
4.166694444,8706,none
4.166694444,8402,none
4.166694444,8704,none
4.183361111,8855,none
4.183361111,8401,none
4.183361111,8816,none
4.200027778,8780,none
4.200027778,8354,none
4.200027778,8721,none
4.216694444,8771,none
4.216694444,8423,none
4.216694444,8712,none
4.233361111,8839,none
4.233361111,8413,none
4.233361111,8699,none
4.250027778,8850,none
4.250027778,8474,none
4.250027778,8801,none
4.266694444,8765,none
4.266694444,8440,none
4.266694444,8744,none
4.283361111,8817,none
4.283361111,8454,none
4.283361111,8707,none
4.300027778,8801,none
4.300027778,8401,none
4.300027778,8772,none
4.316694444,8799,none
4.316694444,8481,none
4.316694444,8803,none
4.333361111,8802,none
4.333361111,8391,none
4.333361111,8793,none
4.350027778,8829,none
4.350027778,8504,none
4.350027778,8794,none
4.366694444,8668,none
4.366694444,8444,none
4.366694444,8659,none
4.383361111,8845,none
4.383361111,8424,none
4.383361111,8783,none
4.400027778,8820,none
4.400027778,8524,none
4.400027778,8823,none
4.416694444,8827,none
4.416694444,8488,none
4.416694444,8756,none
4.433361111,8770,none
4.433361111,8466,none
4.433361111,8696,none
4.450027778,8862,none
4.450027778,8486,none
4.450027778,8777,none
4.466694444,8816,none
4.466694444,8399,none
4.466694444,8764,none
4.483361111,8787,none
4.483361111,8382,none
4.483361111,8717,none
4.500027778,8755,none
4.500027778,8427,none
4.500027778,8711,none
4.516694444,8790,none
4.516694444,8505,none
4.516694444,8740,none
4.533361111,8860,none
4.533361111,8415,none
4.533361111,8709,none
4.550027778,8852,none
4.550027778,8488,none
4.550027778,8754,none
4.566694444,8762,none
4.566694444,8425,none
4.566694444,8723,none
4.583361111,8879,none
4.583361111,8463,none
4.583361111,8788,none
4.600027778,8779,none
4.600027778,8435,none
4.600027778,8784,none
4.616694444,8840,none
4.616694444,8450,none
4.616694444,8762,none
4.633361111,8787,none
4.633361111,8480,none
4.633361111,8748,none
4.650027778,8796,none
4.650027778,8480,none
4.650027778,8723,none
4.666694444,8798,none
4.666694444,8409,none
4.666694444,8790,none
4.683361111,8886,none
4.683361111,8384,none
4.683361111,8757,none
4.700027778,8792,none
4.700027778,8469,none
4.700027778,8746,none
4.716694444,8806,none
4.716694444,8427,none
4.716694444,8749,none
4.733361111,8847,none
4.733361111,8466,none
4.733361111,8717,none
4.750027778,8743,none
4.750027778,8409,none
4.750027778,8737,none
4.766694444,8737,none
4.766694444,8365,none
4.766694444,8814,none
4.783361111,8801,none
4.783361111,8358,none
4.783361111,8740,none
4.800027778,8734,none
4.800027778,8378,none
4.800027778,8624,none
4.816694444,8770,none
4.816694444,8438,none
4.816694444,8737,none
4.833361111,8814,none
4.833361111,8419,none
4.833361111,8663,none
4.850027778,8696,none
4.850027778,8460,none
4.850027778,8693,none
4.866694444,8743,none
4.866694444,8412,none
4.866694444,8741,none
4.883361111,8772,none
4.883361111,8520,none
4.883361111,8645,none
4.900027778,8765,none
4.900027778,8413,none
4.900027778,8652,none
4.916694444,8775,none
4.916694444,8413,none
4.916694444,8681,none
4.933361111,8769,none
4.933361111,8379,none
4.933361111,8743,none
4.950027778,8778,none
4.950027778,8467,none
4.950027778,8686,none
4.966694444,8732,none
4.966694444,8402,none
4.966694444,8705,none
4.983361111,8777,none
4.983361111,8520,none
4.983361111,8785,none
5.000027778,8797,none
5.000027778,8469,none
5.000027778,8760,none
5.016694444,8851,none
5.016694444,8567,none
5.016694444,8742,none
5.033361111,8814,none
5.033361111,8535,none
5.033361111,8713,none
5.050027778,8859,none
5.050027778,8480,none
5.050027778,8779,none
5.066694444,8851,none
5.066694444,8429,none
5.066694444,8680,none
5.083361111,8878,none
5.083361111,8396,none
5.083361111,8722,none
5.100027778,8877,none
5.100027778,8530,none
5.100027778,8826,none
5.116694444,8801,none
5.116694444,8487,none
5.116694444,8732,none
5.133361111,8817,none
5.133361111,8494,none
5.133361111,8774,none
5.150027778,8815,none
5.150027778,8509,none
5.150027778,8726,none
5.166694444,8791,none
5.166694444,8474,none
5.166694444,8816,none
5.183361111,8784,none
5.183361111,8523,none
5.183361111,8797,none
5.200027778,8684,none
5.200027778,8427,none
5.200027778,8668,none
5.216694444,8766,none
5.216694444,8493,none
5.216694444,8751,none
5.233361111,8749,none
5.233361111,8447,none
5.233361111,8753,none
5.250027778,8773,none
5.250027778,8519,none
5.250027778,8736,none
5.266694444,8765,none
5.266694444,8417,none
5.266694444,8659,none
5.283361111,8818,none
5.283361111,8549,none
5.283361111,8704,none
5.300027778,8766,none
5.300027778,8389,none
5.300027778,8655,none
5.316694444,8622,none
5.316694444,8555,none
5.316694444,8703,none
5.333361111,8662,none
5.333361111,8392,none
5.333361111,8610,none
5.350027778,8784,none
5.350027778,8393,none
5.350027778,8654,none
5.366694444,8777,none
5.366694444,8302,none
5.366694444,8645,none
5.383361111,8752,none
5.383361111,8466,none
5.383361111,8772,none
5.400027778,8733,none
5.400027778,8391,none
5.400027778,8674,none
5.416694444,8782,none
5.416694444,8433,none
5.416694444,8810,none
5.433361111,8642,none
5.433361111,8257,none
5.433361111,8665,none
5.450027778,8761,none
5.450027778,8472,none
5.450027778,8797,none
5.466694444,8729,none
5.466694444,8416,none
5.466694444,8593,none
5.483361111,8734,none
5.483361111,8435,none
5.483361111,8628,none
5.500027778,8799,none
5.500027778,8428,none
5.500027778,8748,none
